bssid,essid,lat,lon,encryption,manufacturer,channel,date_insert,date_update
00:00:00:00:00:00,HPF07369,-34.606448,-58.376008,Open,Unknown,6,,
00:01:36:59:37:47,"?Cloaked Network?",-34.617810,-58.365447,WPA,Cybertan,11,,
00:01:36:59:37:48,myLGNet374A,-34.617818,-58.365520,WEP,Cybertan,11,,
00:02:2A:EB:0C:98,Wi-Fi-Looking,-34.603983,-58.384768,WEP,AsoundEl,11,,
00:02:2A:EB:0C:DA,3C,-34.611301,-58.366135,WPA,AsoundEl,11,,
00:02:2A:EB:92:9B,default,-34.604454,-58.395058,Open,AsoundEl,11,,
00:02:2A:EB:9B:1A,Fer,-34.603912,-58.383163,WPA,AsoundEl,11,,
00:02:2A:EB:9C:BB,default,-34.606110,-58.389420,Open,AsoundEl,11,,
00:02:2A:EB:A5:E5,MonitoreoR1,-34.604454,-58.395058,WEP,AsoundEl,11,,
00:02:2A:EB:B1:B8,silvy,-34.614849,-58.392570,WEP,AsoundEl,11,,
00:02:2A:EE:13:A6,"casa medina",-34.616306,-58.391720,WPA,AsoundEl,11,,
00:02:2A:EE:20:F0,CopDtv,-34.603500,-58.379951,Open,AsoundEl,11,,
00:02:6F:22:0B:8A,default,-34.617401,-58.365812,Open,SenaoInt,11,,
00:02:6F:23:47:28,"NH SOUTH-AMERICA",-34.602988,-58.371361,Open,SenaoInt,10,,
00:02:6F:23:47:74,"NH SOUTH-AMERICA",-34.603157,-58.371582,Open,SenaoInt,4,,
00:02:6F:23:47:8A,"NH SOUTH-AMERICA",-34.602844,-58.371113,Open,SenaoInt,9,,
00:02:6F:23:47:92,"NH SOUTH-AMERICA",-34.602892,-58.371190,Open,SenaoInt,9,,
00:02:6F:23:47:E6,"NH SOUTH-AMERICA",-34.602928,-58.371316,Open,SenaoInt,1,,
00:02:6F:33:3B:08,"caba\361a las lilas",-34.603596,-58.367165,WEP,SenaoInt,11,,
00:02:6F:33:3E:BD,"SPEEDY WIFI",-34.612114,-58.358646,WEP,SenaoInt,1,,
00:02:6F:38:BF:E7,INTERGOLD2,-34.603940,-58.383142,Open,SenaoInt,1,,
00:02:6F:4D:49:3A,FCI,-34.617962,-58.364311,WEP,SenaoInt,11,,
00:02:6F:5C:C4:5B,"Ibis Obelisco",-34.603879,-58.385734,Open,SenaoInt,1,,
00:02:6F:5C:C4:60,"Ibis Obelisco",-34.603755,-58.386542,Open,SenaoInt,11,,
00:02:6F:5C:C4:61,"Ibis Obelisco",-34.603914,-58.385693,Open,SenaoInt,1,,
00:02:6F:5C:C4:63,"Ibis Obelisco",-34.603809,-58.386516,Open,SenaoInt,11,,
00:02:6F:5C:C4:E8,"Ibis Obelisco",-34.603729,-58.386644,Open,SenaoInt,11,,
00:02:6F:5C:C4:EB,"Ibis Obelisco",-34.603805,-58.386201,Open,SenaoInt,1,,
00:02:6F:5C:C5:68,"Ibis Obelisco",-34.603907,-58.385638,Open,SenaoInt,11,,
00:02:6F:5C:C5:6C,"Ibis Obelisco",-34.603770,-58.386557,Open,SenaoInt,11,,
00:02:6F:5C:C5:6D,"Ibis Obelisco",-34.603789,-58.386150,Open,SenaoInt,11,,
00:02:6F:5C:C5:91,"Ibis Obelisco",-34.603853,-58.385772,Open,SenaoInt,1,,
00:02:6F:5C:C5:94,"Ibis Obelisco",-34.603607,-58.386734,Open,SenaoInt,11,,
00:02:6F:5C:C5:98,ibishotel,-34.603809,-58.386516,Open,SenaoInt,1,,
00:02:6F:5C:C5:99,"Ibis Obelisco",-34.603800,-58.385988,Open,SenaoInt,1,,
00:02:6F:5C:C6:52,"Ibis Obelisco",-34.603840,-58.385962,Open,SenaoInt,11,,
00:02:6F:5C:C6:53,"Ibis Obelisco",-34.603802,-58.385918,Open,SenaoInt,11,,
00:02:6F:5C:C6:56,"Ibis Obelisco",-34.603834,-58.385870,Open,SenaoInt,1,,
00:02:6F:64:11:80,ENCORE641180,-34.611587,-58.360275,WPA,SenaoInt,11,,
00:02:6F:65:CD:70,Ileana,-34.611423,-58.395016,WPA,SenaoInt,9,,
00:02:6F:65:CD:78,WIFI-MESSENGER,-34.614224,-58.394719,WPA,SenaoInt,11,,
00:02:6F:66:30:3C,OSMA,-34.604252,-58.391819,WPA,SenaoInt,11,,
00:02:6F:67:3F:7C,Wifi-Jesi,-34.608543,-58.395187,WPA,SenaoInt,11,,
00:02:6F:67:4E:EC,paris,-34.604469,-58.398152,Open,SenaoInt,9,,
00:02:6F:68:DC:69,ConsultoriosAbasto,-34.604282,-58.410442,WPA,SenaoInt,1,,
00:02:6F:6E:68:F1,"Bauen Suite",-34.604424,-58.394951,Open,SenaoInt,4,,
00:02:6F:6E:69:02,"Bauen Suite",-34.604441,-58.395012,Open,SenaoInt,2,,
00:02:6F:6E:FC:12,Walter,-34.604394,-58.396284,WPA,SenaoInt,1,,
00:02:6F:70:9A:70,Dhp,-34.618050,-58.390102,WEP,SenaoInt,11,,
00:02:6F:70:9E:10,ENCORE709E10,-34.615055,-58.391602,Open,SenaoInt,11,,
00:02:6F:70:A5:A8,CORR_70A5A8,-34.604484,-58.398415,WPA,SenaoInt,2,,
00:02:6F:70:AA:0C,Cryss,-34.604507,-58.398746,WPA,SenaoInt,11,,
00:02:6F:70:B5:F0,ENCORE70B5F0,-34.611350,-58.395016,WPA,SenaoInt,11,,
00:02:6F:75:38:93,WIFI-LAVALLE750,-34.603463,-58.379845,Open,SenaoInt,3,,
00:02:6F:76:4E:54,"SAN TELMO COLOR 502",-34.617168,-58.372663,WEP,SenaoInt,6,,
00:02:6F:76:5A:B4,Bajofondo,-34.604492,-58.398523,WPA,SenaoInt,11,,
00:02:6F:76:83:F4,Maurus,-34.617533,-58.376787,WPA,SenaoInt,11,,
00:02:6F:76:D6:C8,ramiro,-34.602864,-58.371173,WPA,SenaoInt,11,,
00:02:6F:7C:9E:88,ipoint,-34.604467,-58.398063,WPA,SenaoInt,11,,
00:02:6F:7C:A7:88,chiiman,-34.604572,-58.406067,WEP,SenaoInt,6,,
00:02:6F:81:8B:E8,ENCORE818BE8,-34.604179,-58.401768,Open,SenaoInt,11,,
00:02:6F:81:90:74,BOTICA,-34.604523,-58.399006,WPA,SenaoInt,11,,
00:02:6F:81:9F:58,Mi-Casa,-34.606656,-58.390304,WPA,SenaoInt,11,,
00:02:6F:82:A7:9C,Wisin&amp;Yandel,-34.608768,-58.395229,WPA,SenaoInt,11,,
00:02:6F:82:A8:AC,ENCORE82A8AC,-34.604509,-58.406273,Open,SenaoInt,11,,
00:02:6F:83:78:F4,Martin,-34.614647,-58.394672,WPA,SenaoInt,11,,
00:02:6F:83:89:90,"Estudio Freyer",-34.603771,-58.386804,WEP,SenaoInt,11,,
00:02:6F:83:A8:54,video,-34.604134,-58.390510,WPA,SenaoInt,11,,
00:02:6F:83:DC:1C,"T&amp;C ABOGADOS",-34.603921,-58.384240,WPA,SenaoInt,11,,
00:02:6F:83:DE:84,Sharon,-34.604477,-58.398300,WPA,SenaoInt,11,,
00:02:6F:86:32:CC,ENCORE8632CC,-34.614805,-58.394487,Open,SenaoInt,11,,
00:02:6F:86:54:58,BABACANET,-34.611706,-58.394993,WPA,SenaoInt,0,,
00:02:6F:88:94:38,FavreMoreno,-34.603947,-58.382946,WPA,SenaoInt,1,,
00:02:6F:8D:89:F3,GALERIA,-34.603321,-58.377901,Open,SenaoInt,9,,
00:02:6F:8D:8A:2E,GALERIA,-34.603317,-58.378021,Open,SenaoInt,13,,
00:02:6F:91:40:2C,manual,-34.604038,-58.388255,WPA,SenaoInt,3,,
00:02:6F:91:71:D4,IMarketprob,-34.604685,-58.366949,WPA,SenaoInt,1,,
00:02:6F:91:71:D9,IMarket,-34.604601,-58.367016,WPA,SenaoInt,4,,
00:02:6F:92:40:20,NAY,-34.603542,-58.381153,WEP,SenaoInt,11,,
00:02:6F:97:F6:B0,"?Cloaked Network?",-34.610924,-58.366199,WPA,SenaoInt,4,,
00:02:6F:9B:D1:C9,INTERGOLD,-34.603823,-58.382343,WEP,SenaoInt,11,,
00:02:6F:A3:91:38,Solmedin,-34.604382,-58.394714,WPA,SenaoInt,11,,
00:02:6F:A4:3E:64,toto1901,-34.614197,-58.394714,WPA,SenaoInt,11,,
00:02:6F:A5:94:E8,Machado,-34.604519,-58.405979,WPA,SenaoInt,11,,
00:02:6F:A8:03:44,Leti1510,-34.616842,-58.391712,WPA,SenaoInt,8,,
00:02:6F:A8:05:70,ENCOREA80570,-34.611610,-58.395016,WPA,SenaoInt,11,,
00:02:6F:A8:0C:F4,"?Cloaked Network?",-34.603882,-58.404819,WPA,SenaoInt,3,,
00:02:6F:B0:2C:E0,ASTURIAS,-34.611353,-58.395016,WPA,SenaoInt,11,,
00:02:6F:C4:FF:C0,Hotel_Parlamento_Piso7,-34.607189,-58.390831,WPA,SenaoInt,1,,
00:02:6F:C5:00:34,Hotel_Parlamento_Piso10,-34.607108,-58.390523,WPA,SenaoInt,1,,
00:02:6F:C8:CC:4F,"Las Lilas",-34.604103,-58.367077,Open,SenaoInt,6,,
