
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
18:8B:45:12:D3:A0, 2019-09-26 16:25:05, 2019-09-26 16:25:27,  1,  54, WPA2, CCMP, MGT, -54,        3,        0,   0.  0.  0.  0,   5, WCORP, 
F0:3E:90:13:FD:C8, 2019-09-26 16:25:22, 2019-09-26 16:25:22,  6,  54, OPN, ,   , -60,        0,        0,   0.  0.  0.  0,  15, TeleCentro Wifi, 
9C:A3:A9:6A:12:91, 2019-09-26 16:25:25, 2019-09-26 16:25:25, 14,  54, WPA2, CCMP,PSK, -76,        1,        0,   0.  0.  0.  0,  15, GW-9CA3A96A1291, 
00:72:63:91:89:D0, 2019-09-26 16:25:04, 2019-09-26 16:25:11, 11,  54, WPA2, CCMP,PSK, -52,        3,        2,   0.  0.  0.  0,  19, WiFi-Arnet-x6s8-2\,4, 
D8:A7:56:E4:92:6E, 2019-09-26 16:25:11, 2019-09-26 16:25:11, 11,  -1, WPA, ,   , -60,        0,        1,   0.  0.  0.  0,   0, , 
DC:A5:F4:DE:64:A0, 2019-09-26 16:25:12, 2019-09-26 16:25:12,  1,  -1, OPN, ,   , -62,        0,        1, 172. 17. 16.125,   0, , 
64:66:B3:11:7E:BE, 2019-09-26 16:24:57, 2019-09-26 16:24:57, 12,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
84:17:EF:4B:7C:E0, 2019-09-26 16:24:53, 2019-09-26 16:25:01,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -30,        5,        0,   0.  0.  0.  0,  16, Fibertel WiFi200, 
A0:39:EE:B0:96:EE, 2019-09-26 16:24:57, 2019-09-26 16:25:01,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -42,        3,        0,   0.  0.  0.  0,  14, fibertel.jorge, 
F4:6B:EF:D4:8B:39, 2019-09-26 16:24:59, 2019-09-26 16:25:02,  3,  54, WPA2, CCMP TKIP,PSK, -53,        4,        9,   0.  0.  0.  0,  15, TeleCentro-8b34, 
FC:B4:E6:A2:01:F3, 2019-09-26 16:25:00, 2019-09-26 16:25:00, 10,  -1, WPA, ,   , -56,        0,        2,   0.  0.  0.  0,   0, , 
10:7B:44:3C:26:E8, 2019-09-26 16:24:47, 2019-09-26 16:24:58,  2,  54, WPA2, CCMP,PSK, -60,        3,        1,   0.  0.  0.  0,   4, ASUS, 
1A:60:24:62:ED:44, 2019-09-26 16:24:57, 2019-09-26 16:24:57,  6,  54, WPA2, CCMP,PSK, -62,        2,        0,   0.  0.  0.  0,  31, DIRECT-44-HP OfficeJet Pro 7720, 
D8:A7:56:E4:F3:5D, 2019-09-26 16:24:56, 2019-09-26 16:24:57, 11,  -1, WPA, ,   , -66,        0,        4,   0.  0.  0.  0,   0, , 
DA:D7:75:64:04:0E, 2019-09-26 16:24:49, 2019-09-26 16:24:49, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
AC:84:C6:B3:CF:9A, 2019-09-26 16:24:49, 2019-09-26 16:24:49,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -46,        0,        0,   0.  0.  0.  0,  14, Parrilla julio, 
F0:B0:52:55:7F:28, 2019-09-26 16:24:49, 2019-09-26 16:24:49, 11,  54, OPN, ,   , -46,        1,        0,   0.  0.  0.  0,  15, TeleCentro Wifi, 
F0:B0:52:15:7F:28, 2019-09-26 16:24:49, 2019-09-26 16:24:49, 11,  54, WPA2, CCMP TKIP,PSK, -47,        2,        0,   0.  0.  0.  0,   9, THEMARQUE, 
DA:D7:75:61:71:11, 2019-09-26 16:24:49, 2019-09-26 16:24:49, 11,  54, OPN, ,   , -51,        2,        0,   0.  0.  0.  0,  15, TeleCentro Wifi, 
A8:9C:ED:52:16:41, 2019-09-26 16:18:07, 2019-09-26 16:24:46,  1,  54, WPA2, CCMP,PSK, -53,        5,        0,   0.  0.  0.  0,  12, Mi Tel\xC3\xA9fono, 
B0:FC:36:48:32:B0, 2019-09-26 16:24:46, 2019-09-26 16:24:46, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -58,        1,        0,   0.  0.  0.  0,  14, Panther 2.4GHz, 
BE:54:51:A6:58:0A, 2019-09-26 16:18:45, 2019-09-26 16:24:47,  8,  54, WPA2, CCMP,PSK, -59,       11,        0,   0.  0.  0.  0,   8, lodeandi, 
B8:D9:4D:61:B3:16, 2019-09-26 16:24:24, 2019-09-26 16:24:44,  1,  -1, WPA, ,   , -59,        0,        4,   0.  0.  0.  0,   0, , 
BA:EE:0E:48:A0:D5, 2019-09-26 16:24:49, 2019-09-26 16:24:49, 11,  54, OPN, ,   , -62,        1,        0,   0.  0.  0.  0,  15, TeleCentro Wifi, 
54:35:30:FD:D8:9E, 2019-09-26 16:24:46, 2019-09-26 16:24:46,  1,  54, OPN, ,   , -64,        1,        0,   0.  0.  0.  0,  25, HP-Print-9E-LaserJet 1102, 
A0:1B:29:E8:90:5C, 2019-09-26 16:24:36, 2019-09-26 16:24:36,  7,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
F4:6B:EF:D9:1A:E6, 2019-09-26 16:24:28, 2019-09-26 16:24:32,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -43,        0,        6,   0.  0.  0.  0,  10, SC-1AE 2.4, 
