Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;WCORP;18:8B:45:12:D3:A0;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Thu Sep 26 16:25:05 2019;Thu Sep 26 16:25:27 2019;-54;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;WiFi-Arnet-x6s8-2,4;00:72:63:91:89:D0;;11;No;WPA2,AES-CCM;No;54.0;0;3;0;2;0;0;2;;;Thu Sep 26 16:25:04 2019;Thu Sep 26 16:25:11 2019;-52;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Fibertel WiFi200;84:17:EF:4B:7C:E0;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;5;0;0;0;0;0;;;Thu Sep 26 16:24:53 2019;Thu Sep 26 16:25:01 2019;-30;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;fibertel.jorge;A0:39:EE:B0:96:EE;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;3;0;0;0;0;0;;;Thu Sep 26 16:24:57 2019;Thu Sep 26 16:25:01 2019;-42;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;TeleCentro-8b34;F4:6B:EF:D4:8B:39;;3;No;WPA2,AES-CCM,TKIP;No;54.0;0;4;0;9;0;0;9;;;Thu Sep 26 16:24:59 2019;Thu Sep 26 16:25:02 2019;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;FC:B4:E6:A2:01:F3;;10;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Thu Sep 26 16:25:00 2019;Thu Sep 26 16:25:00 2019;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;ASUS;10:7B:44:3C:26:E8;;2;No;WPA2,AES-CCM;No;54.0;0;3;0;1;0;0;1;;;Thu Sep 26 16:24:47 2019;Thu Sep 26 16:24:58 2019;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;DIRECT-44-HP OfficeJet Pro 7720;1A:60:24:62:ED:44;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Thu Sep 26 16:24:57 2019;Thu Sep 26 16:24:57 2019;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;D8:A7:56:E4:F3:5D;;11;No;WPA,None;No;-1.0;0;0;0;4;0;0;4;;;Thu Sep 26 16:24:56 2019;Thu Sep 26 16:24:57 2019;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;DA:D7:75:64:04:0E;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Sep 26 16:24:49 2019;Thu Sep 26 16:24:49 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
