
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
BA:EE:0E:48:54:A7, 2019-09-26 16:25:27, 2019-09-26 16:25:27, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DA:A7:56:E4:F4:5F, 2019-09-26 16:24:59, 2019-09-26 16:25:26, 11,  54, OPN, ,   , -65,        2,        0,   0.  0.  0.  0,  15, TeleCentro Wifi, 
84:16:F9:3C:0E:14, 2019-09-26 16:25:02, 2019-09-26 16:25:02,  3,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
D8:A7:56:E4:F3:5D, 2019-09-26 16:24:52, 2019-09-26 16:25:03, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -62,        3,        7,   0.  0.  0.  0,  10, SOMOSASADO, 
F6:6B:EF:D4:C7:19, 2019-09-26 16:25:03, 2019-09-26 16:25:03, 11,  54, OPN, ,   , -63,        0,        0,   0.  0.  0.  0,  15, TeleCentro Wifi, 
D2:57:94:6C:09:F5, 2019-09-26 16:25:00, 2019-09-26 16:25:00,  6,  54, OPN, ,   , -64,        1,        0,   0.  0.  0.  0,  15, TeleCentro Wifi, 
A0:39:EE:B0:96:EE, 2019-09-26 16:25:00, 2019-09-26 16:25:00,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -64,        0,        0,   0.  0.  0.  0,  14, fibertel.jorge, 
A4:08:F5:F8:FB:CD, 2019-09-26 16:24:59, 2019-09-26 16:24:59, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -64,        1,        0,   0.  0.  0.  0,   9, MacriGato, 
A6:08:F5:F8:FC:CF, 2019-09-26 16:24:59, 2019-09-26 16:24:59, 11,  54, OPN, ,   , -66,        1,        0,   0.  0.  0.  0,  15, TeleCentro Wifi, 
2C:55:D3:48:9D:44, 2019-09-26 16:25:00, 2019-09-26 16:25:00,  6,  54, WPA2, CCMP,PSK, -71,        2,        0,   0.  0.  0.  0,  12, Wifi Enrique, 
