Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;BA:EE:0E:48:54:A7;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Sep 26 16:25:27 2019;Thu Sep 26 16:25:27 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;TeleCentro Wifi;DA:A7:56:E4:F4:5F;;11;No;OPN,None;No;54.0;0;2;0;0;0;0;0;;;Thu Sep 26 16:24:59 2019;Thu Sep 26 16:25:26 2019;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;SOMOSASADO;D8:A7:56:E4:F3:5D;;11;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;3;0;7;0;0;7;;;Thu Sep 26 16:24:52 2019;Thu Sep 26 16:25:03 2019;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;TeleCentro Wifi;F6:6B:EF:D4:C7:19;;11;No;OPN,None;No;54.0;0;0;0;0;0;0;0;;;Thu Sep 26 16:25:03 2019;Thu Sep 26 16:25:03 2019;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;fibertel.jorge;A0:39:EE:B0:96:EE;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;0;0;0;0;0;0;;;Thu Sep 26 16:25:00 2019;Thu Sep 26 16:25:00 2019;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Wifi Enrique;2C:55:D3:48:9D:44;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Thu Sep 26 16:25:00 2019;Thu Sep 26 16:25:00 2019;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;;14:5B:D1:96:63:54;;2;No;None;No;-1.0;0;0;0;0;0;0;0;;;Thu Sep 26 16:24:50 2019;Thu Sep 26 16:24:50 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;ARLEQUINO-2.4G;80:D4:A5:6B:AC:D4;;4;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Thu Sep 26 16:24:47 2019;Thu Sep 26 16:24:48 2019;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;;D0:57:94:85:17:49;;6;No;WPA,None;No;-1.0;0;0;0;32;0;0;32;;;Thu Sep 26 16:24:49 2019;Thu Sep 26 16:24:49 2019;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Fibertel WiFi 2.4GHz;C8:3D:D4:B1:24:E0;;11;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Thu Sep 26 16:24:48 2019;Thu Sep 26 16:24:50 2019;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
